
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.00      0.14       0.00      0.00      0.00       1.72    -21.08      2.25  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.73    -21.09      2.25  
      0.05      0.00      0.13      -0.00     -0.00      0.00       1.72    -21.10      2.26  
      0.05      0.00      0.14       0.00      0.00      0.00       1.72    -21.10      2.27  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.72    -21.14      2.28  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.72    -21.11      2.28  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.72    -21.15      2.28  
      0.05      0.00      0.14       0.00      0.00     -0.00       1.73    -21.14      2.27  
      0.05      0.01      0.14       0.00     -0.00      0.00       1.74    -21.15      2.29  
      0.05      0.01      0.14       0.00     -0.00     -0.00       1.74    -21.17      2.29  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.72    -21.19      2.30  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.72    -21.20      2.30  
      0.05      0.00      0.14       0.00      0.00      0.00       1.74    -21.18      2.30  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.72    -21.25      2.32  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.70    -21.24      2.33  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.71    -21.25      2.34  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.70    -21.27      2.36  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.70    -21.30      2.37  
      0.06      0.00      0.14      -0.00      0.00      0.00       1.69    -21.31      2.38  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.67    -21.32      2.41  
      0.06      0.00      0.14       0.00     -0.00     -0.00       1.69    -21.35      2.40  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.67    -21.35      2.43  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.68    -21.37      2.43  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.66    -21.39      2.44  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.65    -21.40      2.46  
      0.06      0.00      0.14       0.00     -0.00     -0.00       1.67    -21.42      2.44  
      0.05      0.00      0.14       0.00     -0.00      0.00       1.68    -21.43      2.45  
      0.05      0.00      0.14      -0.00     -0.00     -0.00       1.66    -21.44      2.44  
      0.06      0.00      0.14       0.00     -0.00     -0.00       1.67    -21.47      2.44  
      0.05      0.00      0.14       0.00     -0.00     -0.00       1.69    -21.48      2.43  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.68    -21.49      2.43  
      0.05      0.00      0.14       0.00     -0.00     -0.00       1.69    -21.51      2.40  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.70    -21.54      2.40  
      0.05      0.00      0.14      -0.00      0.00     -0.00       1.69    -21.54      2.40  
      0.06      0.00      0.13       0.00     -0.00     -0.00       1.70    -21.57      2.38  
      0.06      0.01      0.13       0.00      0.00      0.00       1.72    -21.58      2.40  
      0.05      0.01      0.13       0.00     -0.00     -0.00       1.73    -21.59      2.40  
      0.05      0.00      0.13      -0.00     -0.00      0.00       1.72    -21.60      2.40  
      0.05      0.01      0.14       0.00      0.00      0.00       1.72    -21.60      2.40  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.74    -21.64      2.41  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.70    -21.65      2.42  
      0.06      0.00      0.13      -0.00     -0.00      0.00       1.64    -21.69      2.43  
      0.06      0.00      0.13       0.00      0.00     -0.00       1.65    -21.68      2.42  
      0.05      0.00      0.13       0.00      0.00      0.00       1.69    -21.68      2.44  
      0.05      0.00      0.13       0.00      0.00      0.00       1.72    -21.68      2.46  
      0.05      0.00      0.13      -0.00     -0.00      0.00       1.66    -21.68      2.50  
